id,description,title
545f2de0-836a-4780-8cf9-c6ca326ff0da,"Nicosia 2013 VulkÃ  Bianco  (Etna)#Aromas include tropical fruit, broom, brimstone and dried herb. The palate isn't overly expressive, offering unripened apple, citrus and dried sage alongside brisk acidity.",Nicosia 2013 VulkÃ Bianco  (Etna)
b1c4ef91-a68f-4695-a632-1b213c12e63b,"Quinta dos Avidagos 2011 Avidagos Red (Douro)#This is ripe and fruity, a wine that is smooth while still structured. Firm tannins are filled out with juicy red berry fruits and freshened with acidity. It's  already drinkable, although it will certainly be better from 2016.",Quinta dos Avidagos 2011 Avidagos Red (Douro)
2f8c928d-874c-4e5a-84c9-57f8575b2d76,"Rainstorm 2013 Pinot Gris (Willamette Valley)#Tart and snappy, the flavors of lime flesh and rind dominate. Some green pineapple pokes through, with crisp acidity underscoring the flavors. The wine was all stainless-steel fermented.",Rainstorm 2013 Pinot Gris (Willamette Valley)
78c98ad0-38f6-4adb-adfd-29db38c56e5d,"St. Julian 2013 Reserve Late Harvest Riesling (Lake Michigan Shore)#Pineapple rind, lemon pith and orange blossom start off the aromas. The palate is a bit more opulent, with notes of honey-drizzled guava and mango giving way to a slightly astringent, semidry finish.",St. Julian 2013 Reserve Late Harvest Riesling (Lake Michigan Shore)
2d412723-ca51-4a2d-afd3-ee1697f754c5,"Sweet Cheeks 2012 Vintner's Reserve Wild Child Block Pinot Noir (Willamette Valley)#Much like the regular bottling from 2012, this comes across as rather rough and tannic, with rustic, earthy, herbal characteristics. Nonetheless, if you think of it as a pleasantly unfussy country wine, it's a good companion to a hearty winter stew.",Sweet Cheeks 2012 Vintner's Reserve Wild Child Block Pinot Noir (Willamette Valley)
9a2013d4-f387-4091-892b-36ff5c163b4b,"Tandem 2011 Ars In Vitro Tempranillo-Merlot (Navarra)#Blackberry and raspberry aromas show a typical Navarran whiff of green herbs and, in this case, horseradish. In the mouth, this is fairly full bodied, with tomatoey acidity. Spicy, herbal flavors complement dark plum fruit, while the finish is fresh but grabby.",Tandem 2011 Ars In Vitro Tempranillo-Merlot (Navarra)
9fb70b6f-b885-4666-b692-d02299cc4a9f,"Terre di Giurfo 2013 Belsito Frappato (Vittoria)#Here's a bright, informal red that opens with aromas of candied berry, white pepper and savory herb that carry over to the palate. It's balanced with fresh acidity and soft tannins.",Terre di Giurfo 2013 Belsito Frappato (Vittoria)
ebba7e37-3db1-4954-8ee7-0939844cc336,"Trimbach 2012 Gewurztraminer (Alsace)#This dry and restrained wine offers spice in profusion. Balanced with acidity and a firm texture, it's very much for food.",Trimbach 2012 Gewurztraminer (Alsace)
10ffafc6-7eed-441d-a213-eb3cad767966,"Heinz Eifel 2013 Shine GewÃ¼rztraminer (Rheinhessen)#Savory dried thyme notes accent sunnier flavors of preserved peach in this brisk, off-dry wine. It's fruity and fresh, with an elegant, sprightly footprint.",Heinz Eifel 2013 Shine GewÃ¼rztraminer (Rheinhessen)
1ab43d85-8401-47c7-baa5-344b317c93fd,Jean-Baptiste Adam 2012 Les Natures Pinot Gris (Alsace)#This has great depth of flavor with its fresh apple and pear fruits and touch of spice. It's off dry while balanced with acidity and a crisp texture. Drink now.,Jean-Baptiste Adam 2012 Les Natures Pinot Gris (Alsace)
5a5becb7-9614-4c3b-b9d4-1ae4176bb7c5,"Kirkland Signature 2011 Mountain CuvÃ©e Cabernet Sauvignon (Napa Valley)#Soft, supple plum envelopes an oaky structure in this Cabernet, supported by 15% Merlot. Coffee and chocolate complete the picture, finishing strong at the end, resulting in a value-priced wine of attractive flavor and immediate accessibility.",Kirkland Signature 2011 Mountain CuvÃ©e Cabernet Sauvignon (Napa Valley)
bc1549aa-2b62-4502-b71e-5e7e64f4ade8,"Leon Beyer 2012 Gewurztraminer (Alsace)#This is a dry wine, very spicy, with a tight, taut texture and strongly mineral character layered with citrus as well as pepper. It's a food wine with its almost crisp aftertaste.",Leon Beyer 2012 Gewurztraminer (Alsace)
374217ff-02a0-470b-910c-d0775e612895,"Louis M. Martini 2012 Cabernet Sauvignon (Alexander Valley)#Slightly reduced, this wine offers a chalky, tannic backbone to an otherwise juicy explosion of rich black cherry, the whole accented throughout by firm oak and cigar box.",Louis M. Martini 2012 Cabernet Sauvignon (Alexander Valley)
aae7a2e4-4054-4a41-9d18-aac9f858e18d,"Masseria Setteporte 2012 Rosso  (Etna)#This is dominated by oak and oak-driven aromas that include roasted coffee bean, espresso, coconut and vanilla that carry over to the palate, together with plum and chocolate. Astringent, drying tannins give it a rather abrupt finish.",Masseria Setteporte 2012 Rosso  (Etna)
f139bf9b-43ab-4e27-90c0-f80ef6779da6,"Mirassou 2012 Chardonnay (Central Coast)#Building on 150 years and six generations of winemaking tradition, the winery trends toward a leaner style, with the classic California buttercream aroma cut by tart green apple. In this good everyday sipping wine, flavors that range from pear to barely ripe pineapple prove approachable but not distinctive.",Mirassou 2012 Chardonnay (Central Coast)
27655d88-3dc3-42be-8ce1-a7010f544403,"Richard BÃ¶cking 2013 Devon Riesling (Mosel)#Zesty orange peels and apple notes abound in this sprightly, mineral-toned Riesling. Off dry on the palate, yet racy and lean, it's a refreshing, easy quaffer with wide appeal.",Richard BÃ¶cking 2013 Devon Riesling (Mosel)
7da53812-ac35-4bde-886d-445490f4d0ab,"Felix Lavaque 2010 Felix Malbec (Cafayate)#Baked plum, molasses, balsamic vinegar and cheesy oak aromas feed into a palate that's braced by a bolt of acidity. A compact set of saucy red-berry and plum flavors features tobacco and peppery accents, while the finish is mildly green in flavor, with respectable weight and balance.",Felix Lavaque 2010 Felix Malbec (Cafayate)
a8145c7b-5e87-43be-a716-a9526d49dce5,"Gaucho Andino 2011 Winemaker Selection Malbec (Mendoza)#Raw black-cherry aromas are direct and simple but good. This has a juicy feel that thickens over time, with oak character and extract becoming more apparent. A flavor profile driven by dark-berry fruits and smoldering oak finishes meaty but hot.",Gaucho Andino 2011 Winemaker Selection Malbec (Mendoza)
cb79a5a4-be58-4f8e-a093-84cd1cee5494,"Pradorey 2010 Vendimia Seleccionada Finca Valdelayegua Single Vineyard Crianza  (Ribera del Duero)#Desiccated blackberry, leather, charred wood and mint aromas carry the nose on this full-bodied, tannic, heavily oaked Tinto Fino. Flavors of clove and woodspice sit on top of blackberry fruit, then hickory and other forceful oak-based aromas rise up and dominate the finish.",Pradorey 2010 Vendimia Seleccionada Finca Valdelayegua Single Vineyard Crianza  (Ribera del Duero)
f25cfee4-e90e-424b-bc90-00aa970146eb,"QuiÃ©vremont 2012 Meritage (Virginia)#Red fruit aromas pervade on the nose, with cigar box and menthol notes riding in the back. The palate is slightly restrained on entry, but opens up to riper notes of cherry and plum specked with crushed pepper. This blend of Merlot, Cabernet Sauvignon and Cabernet Franc is approachable now and ready to be enjoyed.",QuiÃ©vremont 2012 Meritage (Virginia)
d692c62a-36c6-4683-abd5-1017a261bee3,"QuiÃ©vremont 2012 Vin de Maison Red (Virginia)#Ripe aromas of dark berries mingle with ample notes of black pepper, toasted vanilla and dusty tobacco. The palate is oak-driven in nature, but notes of tart red currant shine through, offering a bit of levity.",QuiÃ©vremont 2012 Vin de Maison Red (Virginia)
a2ba5daa-8ee3-4e8d-9624-8578cc15a558,"Acrobat 2013 Pinot Noir (Oregon)#A sleek mix of tart berry, stem and herb, along with a hint of oak and chocolate, this is a fair value in a widely available, drink-now Oregon Pinot. The wine oak-aged for six months, whether in neutral or re-staved is not indicated.",Acrobat 2013 Pinot Noir (Oregon)
a5d8378d-f55e-43f6-823d-0f522fe3f69b,"Baglio di Pianetto 2007 Ficiligno White (Sicilia)#Delicate aromas recall white flower and citrus. The palate offers passion fruit, lime and white peach with a hint of mineral alongside bright acidity.",Baglio di Pianetto 2007 Ficiligno White (Sicilia)
12b8a386-2f38-48b6-87cc-b43312dba699,"Bianchi 2011 Signature Selection Merlot (Paso Robles)#This wine from the Geneseo district offers aromas of sour plums and just enough cigar box to tempt the nose. The flavors are a bit flat at first, then the acidity and tension of sour cherries emerges in the midpalate, bolstered by some black licorice.",Bianchi 2011 Signature Selection Merlot (Paso Robles)
32568305-d56e-4dbe-85d8-3069199e915c,"CanicattÃ¬ 2009 Aynat Nero d'Avola (Sicilia)#Aromas of prune, blackcurrant, toast and oak carry through to the extracted palate, along with flavors of black cherry and roasted coffee beans. Firm but drying tannins provide the framework.",CanicattÃ¬ 2009 Aynat Nero d'Avola (Sicilia)
d2d3bc02-6976-4b6f-a6fd-5f8b64a01be7,"Castello di Amorosa 2011 King Ridge Vineyard Pinot Noir (Sonoma Coast)#Oak and earth intermingle around robust aromas of wet forest floor in this vineyard-designated Pinot that hails from a high-elevation site. Small in production, it offers intense, full-bodied raspberry and blackberry steeped in smoky spice and smooth texture.",Castello di Amorosa 2011 King Ridge Vineyard Pinot Noir (Sonoma Coast)
0a241b7d-c0ea-4f65-98af-8f4a026f4972,"Stemmari 2013 Dalila White (Terre Siciliane)#Pretty aromas of yellow flower and stone fruit lead the nose. The bright palate offers yellow apple, apricot, vanilla and delicate notes of lightly toasted oak alongside crisp acidity.",Stemmari 2013 Dalila White (Terre Siciliane)
89c50b45-813e-4390-b0da-a827ecb52a8a,"Stemmari 2013 Nero d'Avola (Terre Siciliane)#Aromas recall ripe dark berry, toast and a whiff of cake spice. The soft, informal palate offers sour cherry, vanilla and a hint of espresso alongside round tannins. Drink soon.",Stemmari 2013 Nero d'Avola (Terre Siciliane)
f1d113b1-1ee2-469e-83d5-6c268ee7ada2,"Terre di Giurfo 2011 Mascaria Barricato  (Cerasuolo di Vittoria)#Aromas suggest mature berry, scorched earth, animal, toast and anise. The palate offers ripe black berry, oak, espresso, cocoa and vanilla alongside dusty tannins.",Terre di Giurfo 2011 Mascaria Barricato  (Cerasuolo di Vittoria)
a9431ad5-1e53-46a4-9720-b93fce8ebb84,"Clarksburg Wine Company 2010 Chenin Blanc (Clarksburg)#Clarksburg is becoming a haven for Chenin Blanc in California. This bottling, using fruit sourced from several vineyards in the area, is balanced with just a trace of sweetness in the background (1% residual sugar). This is crisp, straightforward and blessed with notes of pear and lime. Drink it cold.",Clarksburg Wine Company 2010 Chenin Blanc (Clarksburg)
14e24b52-73ab-4636-ab69-08c34f2abf4c,"Domaine de la Madone 2012 Nouveau  (Beaujolais-Villages)#Red cherry fruit comes laced with light tannins, giving this bright wine an open, juicy character.",Domaine de la Madone 2012 Nouveau  (Beaujolais-Villages)
3d422825-fbef-4d4b-bdaf-961bc99606b2,"Duca di Salaparuta 2010 CalanÃ¬ca Nero d'Avola-Merlot Red (Sicilia)#Merlot and Nero d'Avola form the base for this easy red wine that would pair with fettuccine and meat sauce or pork roast. The quality of the fruit is clean, bright and sharp.",Duca di Salaparuta 2010 CalanÃ¬ca Nero d'Avola-Merlot Red (Sicilia)
d3a84adf-84c8-4575-9900-eabb3b1a3614,"Duca di Salaparuta 2011 CalanÃ¬ca Grillo-Viognier White (Sicilia)#Part of the extended CalanÃ¬ca series, this Grillo-Viognier blend shows aromas of honeysuckle and jasmine, backed by touches of cut grass and wild sage. In the mouth, it shows ripe yellow-fruit flavors.",Duca di Salaparuta 2011 CalanÃ¬ca Grillo-Viognier White (Sicilia)
4e5c1c60-fed4-4578-a8bf-7111a7c198db,"Envolve 2010 Puma Springs Vineyard Red (Dry Creek Valley)#Rustic and dry, this has flavors of berries, currants, licorice and spices. Made from Cabernet Franc and Cabernet Sauvignon.",Envolve 2010 Puma Springs Vineyard Red (Dry Creek Valley)
91da5ec7-3968-4164-a73c-63d90e5ae514,"Envolve 2011 Sauvignon Blanc (Sonoma Valley)#This shows a tart, green gooseberry flavor that is similar to New Zealand Sauvignon Blanc. Other notes include tropical fruit, orange and honey. Unoaked, with a splash of Muscat, this has commendable dryness and acidity.",Envolve 2011 Sauvignon Blanc (Sonoma Valley)
39a16565-c8fd-4e5f-8d91-0fbe0ade922c,"Erath 2010 Hyland Pinot Noir (McMinnville)#As with many of the Erath 2010 vineyard designates, this is strongly herbal. The notes of leaf and herb create somewhat unripe flavor impressions, with a touch of bitterness on the finish. The fruit just passes the ripeness of sweet tomatoes.",Erath 2010 Hyland Pinot Noir (McMinnville)
ef1f9a46-5173-4bb2-a26c-edde2816ae41,"Estampa 2011 Estate Viognier-Chardonnay (Colchagua Valley)#White flower, lychee and apple aromas carry the mellow bouquet. The chunky-feeling palate bears powdery, sweet flavors of peach and melon, mixed with greener notes of grass and lime. The 80% Viognier component is typical of the warm climate: plump and oily, with a short finish. Chardonnay fills out the blend.",Estampa 2011 Estate Viognier-Chardonnay (Colchagua Valley)
ad22a502-6c31-4381-831a-3c73ae0fece2,"Feudi del Pisciotto 2010 Missoni Cabernet Sauvignon (Sicilia)#This concentrated Cabernet offers aromas of cured meat, dried fruit and rosemary. Barbecue spice and teriyaki sauce flavors give the wine a bold, chewy feel.",Feudi del Pisciotto 2010 Missoni Cabernet Sauvignon (Sicilia)
5f500744-7297-42f4-9f73-f62a5a243d88,"Feudi di San Marzano 2011 I Tratturi Primitivo (Puglia)#Inky in color, this wine has plump aromas of ripe fruit, blackberry jam and rum cake. On the palate, it is soft and smooth.",Feudi di San Marzano 2011 I Tratturi Primitivo (Puglia)
fa0647c1-3ea0-4662-8590-b434dddb61b9,"Feudo di Santa Tresa 2011 Purato Made With Organic Grapes Nero d'Avola (Sicilia)#Part of the natural wine movement, this wine is made from organic grapes, and the label is printed with vegetable ink on recycled paper. The quality of fruit is very nice, with a juicy palate and a bright berry flavor on the finish.",Feudo di Santa Tresa 2011 Purato Made With Organic Grapes Nero d'Avola (Sicilia)
a5984d22-fd71-4ca5-b066-2c9ab14cbaaf,"Feudo Montoni 2011 Catarratto (Sicilia)#Catarratto is one of Sicily's most widely farmed white grape varieties. This expression shows a mineral note, backed by citrus and almond blossom touches.",Feudo Montoni 2011 Catarratto (Sicilia)
ffb767be-0dfd-4bc4-90c2-69232a6d6688,"Hawkins Cellars 2009 Pinot Noir (Willamette Valley)#A stiff, tannic wine, this slowly opens and brings brambly berry flavors into play, along with notes of earthy herbs. There's a touch of bitterness to the tannins.",Hawkins Cellars 2009 Pinot Noir (Willamette Valley)
e5d9f568-d05c-426b-98df-9fb44a69f15e,"Henry Fessy 2012 Nouveau  (Beaujolais)#This is a festive wine, with soft, ripe fruit and acidity, plus a red berry flavor.",Henry Fessy 2012 Nouveau  (Beaujolais)
2031e889-e432-48f2-a832-960e23d9b13f,"Robert Hall 2011 Sauvignon Blanc (Paso Robles)#The clean, brisk mouthfeel gives this slightly oaked Sauvignon Blanc instant likeability. It's dry with a rich streak of honey that sweetens the citrus, pear and tropical fruit flavors. Pair this with Asian fare, ham or a green salad with grapefruit sections.",Robert Hall 2011 Sauvignon Blanc (Paso Robles)
818419c1-0e5a-4e8a-a62d-ddf307c46373,"Sundance 2011 Merlot (Maule Valley)#A berry aroma comes with cola and herb notes. The palate is tangy and racy, and it delivers raspberry and plum flavors, with a modest finish.",Sundance 2011 Merlot (Maule Valley)
03853366-84cb-4727-adc7-0b66c5066ad9,"Tarara 2010 #SocialSecret Red (Virginia)#Right out of the starting blocks this is an oaky wine, dripping with caramel and vanilla notes. The texture on the midpalate is finessed and graceful, with drying tannins that latch onto the oak-driven finish. An eccentric blend of 50% Tannat, 35% Petit Verdot and 15% Pinotage.",Tarara 2010 #SocialSecret Red (Virginia)
b8e04c13-34b0-40f8-ae56-7bb6e30de096,"Tasca d'Almerita 2011 Sallier de la Tour Inzolia (Sicilia)#Spicy, fresh and clean, this would pair with fried seafood or spaghetti con vongole. It offers pretty citrus tones followed by a drying mineral nuance.",Tasca d'Almerita 2011 Sallier de la Tour Inzolia (Sicilia)
be127ea3-5dfa-47d5-b0a0-1dca3e27256f,"The White Knight 2011 Riesling (Lake County)#This is a sweet wine with flavors of white sugar, orange, honey and vanilla, all brightened by crisp acidity.",The White Knight 2011 Riesling (Lake County)
8506b27a-2a8e-475b-bf40-720005d38bcd,"Trump 2011 Sauvignon Blanc (Monticello)#This bottling resembles the New Zealand paradigm of Sauvignon Blanc, bearing aromas of grapefruit, passion fruit and kiwi; a sprinkling of graham cracker adds interest. The wine hits the palate like a fleshy fist, with an intense, grassy gooseberry flavor that provides plenty of punch. Pair with apricot-glazed roasted chicken.",Trump 2011 Sauvignon Blanc (Monticello)
ce3fe308-4aac-42ee-b351-7ca98749b199,"Vignerons de Bel Air 2011 EtÃ© Indien  (Brouilly)#Soft and fruity, this is a generous, ripe wine that's full of juicy red-cherry fruits and gentle tannins. It has some richness, giving a sweet character to this open, ready-to-drink wine.",Vignerons de Bel Air 2011 EtÃ© Indien  (Brouilly)
9d1bb9b3-d3dd-4c66-a4c0-7bde9b049910,"Viticultori Associati Canicatti 2008 Scialo Red (Sicilia)#This blend of Nero d'Avola and Syrah opens with savory aromas of cured meat, dried berry, cassis, tobacco and wet earth. There's a touch of almond bitterness on the finish.",Viticultori Associati Canicatti 2008 Scialo Red (Sicilia)
dbfdac24-3f4f-4039-a549-5c06dc29a6c9,"Casa Silva 2008 Gran Reserva Petit Verdot (Colchagua Valley)#This is much different than Casa Silva's 2009 Petit Verdot, which was tasted in the same flight. The '08 is more hard, spicy and tarry, with a leafy, herbal aroma, plus some grittiness. The palate feels snappy, with a can't-miss saltiness. The finish is long in length but short on fruit, with a raw feel.",Casa Silva 2008 Gran Reserva Petit Verdot (Colchagua Valley)
19955e66-3310-4c23-a696-1917ecbb87b6,"Cantine di Dolianova 2010 Dolia  (Monica di Sardegna)#The Monica grape often shows a rustic or raw quality, with aromas of cherry cola, black pepper and sour fruit. This expression does just that, with an added touch of bright acidity on the finish.",Cantine di Dolianova 2010 Dolia  (Monica di Sardegna)
5aee7011-3f0b-436b-b568-50ff8e72ea7a,"ChÃ¢teau de Sours 2011 La Fleur d'AmÃ©lie  (Bordeaux Blanc)#Fruity and lightly herbaceous, this has fine textured acidity along with a pink grapefruit flavor. The wine is bright and easy, and it will be ready to drink in a few months.",ChÃ¢teau de Sours 2011 La Fleur d'AmÃ©lie  (Bordeaux Blanc)
c65fe642-2c59-4e3d-82ee-9cee78a6f93d,"Corvo 2010 Rosso Red (Sicilia)#A blend of Nero d'Avola and Nerello Mascalese, this delivers forest berry and cola, with blue flower and dusty mineral accents. The palate is easy, bright and lean.",Corvo 2010 Rosso Red (Sicilia)
aa7ec36b-9b5b-4a1d-a861-281883ba6994,"RustRidge 2010 Estate Bottled Chardonnay (Napa Valley)#This shows jelly-like flavors of orange and pear, with some earthy tones. The mouthfeel is soft and there's a bounty of oak in the form of buttered toast and caramel notes.",RustRidge 2010 Estate Bottled Chardonnay (Napa Valley)
e3defa11-499d-408c-a410-bb270b1ecbe0,"Souverain 2010 Chardonnay (North Coast)#This is weighty, creamy and medium to full in body. It has plenty of lime and pear flavors, plus slight brown sugar and vanilla notes.",Souverain 2010 Chardonnay (North Coast)
335d697a-2cd5-4452-8efa-120839b80af3,"Tasca d'Almerita 2011 Sallier de la Tour Grillo (Sicilia)#There's a touch of toasted almond at the start, but then this Grillo revs up in the glass to deliver notes of citrus, stone fruit, crushed stone and lemon tart. The mouthfeel is crisp and simple.",Tasca d'Almerita 2011 Sallier de la Tour Grillo (Sicilia)
11b91a34-eae7-4d81-8b3d-2ff07ee85e63,"Tres Palacios 2011 Reserve Pinot Noir (Maipo Valley)#Lightly herbal strawberry and raspberry aromas are authentic and fresh. On the palate, this is light and juicy, with snappy, lean flavors of red fruit and dry spice. The finish is dry and oaky.",Tres Palacios 2011 Reserve Pinot Noir (Maipo Valley)
36db4df7-eeff-4b75-ae76-f324e7d349b8,"Mellisoni 2014 Malbec (Columbia Valley (WA))#Aromas of cranberry, barrel spice and herb are followed by tart cranberry flavors with grainy tannins. It falls a bit flat and the variety seems hard to discern.",Mellisoni 2014 Malbec (Columbia Valley (WA))
e0712941-0842-4c79-8023-332fe0e99b0d,"Okapi 2013 Estate Cabernet Sauvignon (Napa Valley)#Syrupy and dense, this wine is jammy in plum and vanilla, with indeterminate structure and plenty of oak. Ripe and full-bodied, it has accents of graphite and leather.",Okapi 2013 Estate Cabernet Sauvignon (Napa Valley)
9e4cb27e-dc5e-4edb-b32f-c47ec76683f1,Podere dal Nespoli 2015 Prugneto Sangiovese (Romagna)#This densely hued wine has aromas of black plum and vanilla that carry over to the simple palate along with a touch of cedar. Pliant tannins give it an easygoing nature. Drink soon.,Podere dal Nespoli 2015 Prugneto Sangiovese (Romagna)
0579a09f-6760-4649-9839-8e94b34313f4,"Ram 2014 Alder Ridge Vineyard Cabernet Franc (Columbia Valley (WA))#The aromas are brooding, with notes of barrel spice and cherry. The flavors are tart and elegant in style, with lightly gritty tannins backing them up. Best suited to the dinner table.",Ram 2014 Alder Ridge Vineyard Cabernet Franc (Columbia Valley (WA))
dccbdb36-74f1-418a-9970-b8d27fedb659,"Roland Champion NV Brut RosÃ©  (Champagne)#This fat, yeasty Champagne is comprised predominantly of Pinot Noir. It has ripe red berry fruit, light acidity and a soft, creamy aftertaste. It's ready to drink.",Roland Champion NV Brut RosÃ©  (Champagne)
df93a0ad-69cd-425a-89f9-19d43f9590df,"Sevtap 2015 Golden Horn Sauvignon Blanc (Santa Ynez Valley)#There are intriguing touches to the nose of this bottling, with jasmine, sea salt, wet hay, quinine and rainy sidewalk. The structure on the sip is quite delicate, with golden apple and honey flavors.",Sevtap 2015 Golden Horn Sauvignon Blanc (Santa Ynez Valley)
041af6c6-5eb9-49da-aaa2-0991e21f81aa,"Simonnet-Febvre 2015  Chablis#From the warm 2015 vintage, this is a soft and fruity wine. It's open with broad white fruit flavors, the acidity lighter than usual for Chablis, giving it a particularly ripe character. Drink now.",Simonnet-Febvre 2015  Chablis
b0b8e4e4-b7fd-499b-bdc6-ef8829c108b0,"Vignerons des Terres SecrÃ¨tes 2015  MÃ¢con-Milly Lamartine#This soft, rounded wine is ripe with generous pear and melon flavors. It's easy and ready to drink young for its smooth, attractively ripe character.",Vignerons des Terres SecrÃ¨tes 2015  MÃ¢con-Milly Lamartine
169b50de-f401-4ae9-87ec-3d222f3ed72a,"Basel Cellars 2013 Inspired Red (Columbia Valley (WA))#A blend of Merlot and Cabernet Franc, this wine brings disjointed lightly volatile aromas of wood spice, vanilla and cherry. The plump cherry flavors are rounded out by woody barrel notes.",Basel Cellars 2013 Inspired Red (Columbia Valley (WA))
79d8ce8d-eaf1-4001-b248-c7ddaa129365,"Cocobon 2014 Red (California)#Very deep in color and spicy-smoky in flavor, this full-bodied wine is packed with dark-fruit flavors like blackberry and blueberry. Aromas like grilled beef and spicy flavors like cardamom and smoke give it a bold character that's hard to deny.",Cocobon 2014 Red (California)
3f23c231-5c6d-4612-845d-288735fc6670,"Collet NV Brut RosÃ©  (Champagne)#This cooperative, based in AÃ¿, has benefited from the fine Pinot Noir in the village to produce a ripe red fruited wine. With balanced acidity and a soft aftertaste, it is ready to drink.",Collet NV Brut RosÃ©  (Champagne)
8ba4e550-1143-47cd-b8b0-252cb7a8bd35,"Drumheller 2014 Chardonnay (Columbia Valley (WA))#Aromas of vanilla, char and toast lead to light creamy stone fruit and canned-corn flavors. It provides appeal but the oak seems overweighted.",Drumheller 2014 Chardonnay (Columbia Valley (WA))
b63405ba-183a-4737-ba2e-a9022e5c7493,"Eco Terreno 2013 Old Vine Cabernet Sauvignon (Alexander Valley)#Big oak defines this robustly dense and extracted red, swimming in vanilla and cherry flavor. Full-bodied and gravelly in texture, it's a rustically pleasant wine for pizza nights and crowds.",Eco Terreno 2013 Old Vine Cabernet Sauvignon (Alexander Valley)
1afd7cef-7b1e-46e9-8797-bacfebb4b970,"Grifalco 2013 Daginestra  (Aglianico del Vulture)#Aromas of black-skinned fruit, leather, underbrush, game and a briny note all carry over to the lean, somewhat disjointed palate along with suggestions of licorice and raw red cherry. Grainy tannins leave a drying finish.",Grifalco 2013 Daginestra  (Aglianico del Vulture)
0fdf3eda-873e-41ba-b8e0-b45fe86f01a2,"Hindsight 2013 Bella Vetta Vineyard Cabernet Sauvignon (Howell Mountain)#Juicy plum, raspberry and pencil lead lead the way in this vineyard designate, a site that's 2,000 feet high. Tobacco and cedar meet a full-bodied hit of oak and puckering tannin, the wine still youthfully wrapped in its full-bodied boldness.",Hindsight 2013 Bella Vetta Vineyard Cabernet Sauvignon (Howell Mountain)
fa5b4f07-68f4-45a7-b545-09031e28e908,Hindsight 2012 Estate Grown Petite Sirah (Calistoga)#This is the producer's first release of this wine. Fruity aromas of plum and tart cranberry add to its overall sense of lightness and understatement.,Hindsight 2012 Estate Grown Petite Sirah (Calistoga)
3a11d180-b9be-4a7e-9cf4-adda9332cca4,"Mulvane Wine Co. 2013 The Cypher Red (Napa Valley)#This is made from equal parts Cabernet Franc and Merlot, with small additions of Malbec. Juicy, it reveals a raisiny quality of ripeness around integrated oak and generous tannin.",Mulvane Wine Co. 2013 The Cypher Red (Napa Valley)
daa355c4-8b0d-4d4e-8b2b-b02419492509,"Schmitt SÃ¶hne 2015 Riesling (Rheinhessen)#Earthy pollen and mineral notes lend a savory tone to this medium-sweet Riesling. It's soft and slightly pulpy, intensified by overripe tangerine and stone fruit flavors. Drink now through 2018.",Schmitt SÃ¶hne 2015 Riesling (Rheinhessen)
d586df12-8ed3-4d38-b99e-cc8cb6f0b45a,"Yalumba 2016 Made With Organic Grapes Chardonnay (South Australia)#This medium-bodied Chardonnay features aromas of pineapple and roasted cashew. Similar notes of ripe pineapple and nuts mark the palate, then ease to a rather soft, easy finish. Drink now.",Yalumba 2016 Made With Organic Grapes Chardonnay (South Australia)
f44de034-167d-493d-94bf-1c81216f941e,"Z'IVO 2015 RosÃ© of Pinot Noir (Eola-Amity Hills)#Some rosÃ©s are made simply by bleeding the juice from the fermenter, to concentrate the remaining wine. Whether or not that is the case here, the wine has the simple pleasant lightly candied strawberry flavors one might expect from such a technique. It's fruity and undemanding. Drink up.",Z'IVO 2015 RosÃ© of Pinot Noir (Eola-Amity Hills)
53d077ce-4fdc-43fb-ac30-c92d510278ea,"Adega Cooperativa do Cartaxo 2014 BridÃ£o Touriga Nacional (Tejo)#Grown on the sandy soil of Tejo, the wine is typically soft and open. It is very accessibleâ€”with black fruits and light tannins for this grape. It is ready to drink.",Adega Cooperativa do Cartaxo 2014 BridÃ£o Touriga Nacional (Tejo)
